day,hour,zone_id,zone_type,baseline_demand_kw,actual_demand_kw,grid_capacity_kw,load_ratio,stress_level,is_weekend
0,10,Z1,residential,149.7,141.78,380.0,0.373,low,False
0,10,Z2,commercial,664.85,659.22,600.0,1.099,critical,False
0,10,Z3,corridor,404.18,386.61,460.0,0.84,high,False
0,10,Z4,mixed,239.86,245.33,520.0,0.472,low,False
0,11,Z1,residential,131.09,135.66,380.0,0.357,low,False
0,11,Z2,commercial,658.14,659.78,600.0,1.1,critical,False
0,11,Z3,corridor,145.88,139.32,460.0,0.303,low,False
0,11,Z4,mixed,192.56,182.25,520.0,0.35,low,False
0,12,Z1,residential,126.35,127.67,380.0,0.336,low,False
0,12,Z2,commercial,671.64,663.57,600.0,1.106,critical,False
0,12,Z3,corridor,125.6,126.18,460.0,0.274,low,False
0,12,Z4,mixed,179.16,169.09,520.0,0.325,low,False
0,13,Z1,residential,125.32,127.08,380.0,0.334,low,False
0,13,Z2,commercial,679.86,632.22,600.0,1.054,critical,False
0,13,Z3,corridor,132.75,135.43,460.0,0.294,low,False
0,13,Z4,mixed,187.14,172.73,520.0,0.332,low,False
0,14,Z1,residential,135.61,142.68,380.0,0.375,low,False
0,14,Z2,commercial,681.15,670.28,600.0,1.117,critical,False
0,14,Z3,corridor,143.51,141.03,460.0,0.307,low,False
0,14,Z4,mixed,188.37,192.57,520.0,0.37,low,False
0,15,Z1,residential,137.11,135.13,380.0,0.356,low,False
0,15,Z2,commercial,661.75,683.21,600.0,1.139,critical,False
0,15,Z3,corridor,144.92,141.88,460.0,0.308,low,False
0,15,Z4,mixed,189.14,183.99,520.0,0.354,low,False
0,16,Z1,residential,137.88,127.63,380.0,0.336,low,False
0,16,Z2,commercial,660.58,658.24,600.0,1.097,critical,False
0,16,Z3,corridor,138.44,140.65,460.0,0.306,low,False
0,16,Z4,mixed,373.33,373.14,520.0,0.718,medium,False
0,17,Z1,residential,129.22,125.89,380.0,0.331,low,False
0,17,Z2,commercial,139.16,138.71,600.0,0.231,low,False
0,17,Z3,corridor,403.61,409.94,460.0,0.891,high,False
0,17,Z4,mixed,374.3,378.19,520.0,0.727,medium,False
0,18,Z1,residential,430.16,419.18,380.0,1.103,critical,False
0,18,Z2,commercial,173.94,171.35,600.0,0.286,low,False
0,18,Z3,corridor,403.41,408.39,460.0,0.888,high,False
0,18,Z4,mixed,344.19,366.55,520.0,0.705,medium,False
0,19,Z1,residential,427.04,412.57,380.0,1.086,critical,False
0,19,Z2,commercial,178.16,178.87,600.0,0.298,low,False
0,19,Z3,corridor,401.59,402.02,460.0,0.874,high,False
0,19,Z4,mixed,373.62,363.18,520.0,0.698,medium,False
0,20,Z1,residential,471.84,465.15,380.0,1.224,critical,False
0,20,Z2,commercial,187.73,181.24,600.0,0.302,low,False
0,20,Z3,corridor,406.67,394.56,460.0,0.858,high,False
0,20,Z4,mixed,391.55,375.44,520.0,0.722,medium,False
0,21,Z1,residential,440.2,450.28,380.0,1.185,critical,False
0,21,Z2,commercial,179.45,180.3,600.0,0.301,low,False
0,21,Z3,corridor,386.14,399.67,460.0,0.869,high,False
0,21,Z4,mixed,381.17,392.61,520.0,0.755,medium,False
0,22,Z1,residential,420.33,455.07,380.0,1.198,critical,False
0,22,Z2,commercial,148.81,144.21,600.0,0.24,low,False
0,22,Z3,corridor,80.44,77.4,460.0,0.168,low,False
0,22,Z4,mixed,183.28,191.5,520.0,0.368,low,False
0,23,Z1,residential,63.5,62.81,380.0,0.165,low,False
0,23,Z2,commercial,146.02,151.34,600.0,0.252,low,False
0,23,Z3,corridor,79.16,82.51,460.0,0.179,low,False
0,23,Z4,mixed,115.86,114.54,520.0,0.22,low,False
1,0,Z1,residential,51.37,50.47,380.0,0.133,low,False
1,0,Z2,commercial,143.49,142.65,600.0,0.238,low,False
1,0,Z3,corridor,70.56,75.23,460.0,0.164,low,False
1,0,Z4,mixed,104.5,107.2,520.0,0.206,low,False
1,1,Z1,residential,62.32,56.67,380.0,0.149,low,False
1,1,Z2,commercial,155.89,147.78,600.0,0.246,low,False
1,1,Z3,corridor,80.6,77.33,460.0,0.168,low,False
1,1,Z4,mixed,121.4,114.7,520.0,0.221,low,False
1,2,Z1,residential,59.04,54.45,380.0,0.143,low,False
1,2,Z2,commercial,139.38,151.35,600.0,0.252,low,False
1,2,Z3,corridor,74.81,75.84,460.0,0.165,low,False
1,2,Z4,mixed,109.64,110.82,520.0,0.213,low,False
1,3,Z1,residential,62.09,64.64,380.0,0.17,low,False
1,3,Z2,commercial,151.78,156.62,600.0,0.261,low,False
1,3,Z3,corridor,80.28,81.15,460.0,0.176,low,False
1,3,Z4,mixed,122.53,126.41,520.0,0.243,low,False
1,4,Z1,residential,53.21,55.27,380.0,0.145,low,False
1,4,Z2,commercial,148.19,146.0,600.0,0.243,low,False
1,4,Z3,corridor,70.97,72.43,460.0,0.157,low,False
1,4,Z4,mixed,112.48,101.52,520.0,0.195,low,False
1,5,Z1,residential,143.59,144.96,380.0,0.381,low,False
1,5,Z2,commercial,155.44,159.51,600.0,0.266,low,False
1,5,Z3,corridor,83.48,87.02,460.0,0.189,low,False
1,5,Z4,mixed,122.64,121.67,520.0,0.234,low,False
1,6,Z1,residential,147.45,139.34,380.0,0.367,low,False
1,6,Z2,commercial,165.2,152.9,600.0,0.255,low,False
1,6,Z3,corridor,154.46,156.54,460.0,0.34,low,False
1,6,Z4,mixed,199.63,196.66,520.0,0.378,low,False
1,7,Z1,residential,131.48,135.41,380.0,0.356,low,False
1,7,Z2,commercial,336.13,352.82,600.0,0.588,medium,False
1,7,Z3,corridor,428.9,411.5,460.0,0.895,high,False
1,7,Z4,mixed,255.74,251.78,520.0,0.484,low,False
1,8,Z1,residential,132.08,125.78,380.0,0.331,low,False
1,8,Z2,commercial,353.57,333.41,600.0,0.556,medium,False
1,8,Z3,corridor,443.51,438.69,460.0,0.954,high,False
1,8,Z4,mixed,247.61,261.43,520.0,0.503,medium,False
1,9,Z1,residential,142.64,137.59,380.0,0.362,low,False
1,9,Z2,commercial,366.31,318.1,600.0,0.53,medium,False
1,9,Z3,corridor,435.13,433.36,460.0,0.942,high,False
1,9,Z4,mixed,247.17,245.37,520.0,0.472,low,False
1,10,Z1,residential,143.24,148.63,380.0,0.391,low,False
1,10,Z2,commercial,695.32,698.03,600.0,1.163,critical,False
1,10,Z3,corridor,450.36,443.67,460.0,0.965,high,False
1,10,Z4,mixed,257.2,247.09,520.0,0.475,low,False
1,11,Z1,residential,139.39,141.7,380.0,0.373,low,False
1,11,Z2,commercial,713.45,697.49,600.0,1.162,critical,False
1,11,Z3,corridor,134.0,135.43,460.0,0.294,low,False
1,11,Z4,mixed,183.89,179.22,520.0,0.345,low,False
1,12,Z1,residential,151.54,143.2,380.0,0.377,low,False
1,12,Z2,commercial,665.33,678.52,600.0,1.131,critical,False
1,12,Z3,corridor,156.67,160.15,460.0,0.348,low,False
1,12,Z4,mixed,196.69,197.03,520.0,0.379,low,False
1,13,Z1,residential,145.73,157.93,380.0,0.416,low,False
1,13,Z2,commercial,699.68,746.51,600.0,1.244,critical,False
1,13,Z3,corridor,157.88,152.93,460.0,0.332,low,False
1,13,Z4,mixed,203.13,201.47,520.0,0.387,low,False
1,14,Z1,residential,150.37,145.16,380.0,0.382,low,False
1,14,Z2,commercial,702.35,692.87,600.0,1.155,critical,False
1,14,Z3,corridor,159.56,140.57,460.0,0.306,low,False
1,14,Z4,mixed,195.44,200.08,520.0,0.385,low,False
1,15,Z1,residential,150.35,150.16,380.0,0.395,low,False
1,15,Z2,commercial,693.06,682.14,600.0,1.137,critical,False
1,15,Z3,corridor,149.48,153.69,460.0,0.334,low,False
1,15,Z4,mixed,203.02,195.0,520.0,0.375,low,False
1,16,Z1,residential,148.69,145.1,380.0,0.382,low,False
1,16,Z2,commercial,702.41,685.15,600.0,1.142,critical,False
1,16,Z3,corridor,149.81,153.57,460.0,0.334,low,False
1,16,Z4,mixed,397.71,401.36,520.0,0.772,medium,False
1,17,Z1,residential,138.45,145.19,380.0,0.382,low,False
1,17,Z2,commercial,145.03,156.26,600.0,0.26,low,False
1,17,Z3,corridor,408.74,430.92,460.0,0.937,high,False
1,17,Z4,mixed,403.6,383.8,520.0,0.738,medium,False
1,18,Z1,residential,493.36,465.32,380.0,1.225,critical,False
1,18,Z2,commercial,185.06,178.14,600.0,0.297,low,False
1,18,Z3,corridor,414.61,422.84,460.0,0.919,high,False
1,18,Z4,mixed,403.54,388.85,520.0,0.748,medium,False
1,19,Z1,residential,445.32,490.3,380.0,1.29,critical,False
1,19,Z2,commercial,196.77,189.0,600.0,0.315,low,False
1,19,Z3,corridor,446.92,463.64,460.0,1.008,critical,False
1,19,Z4,mixed,400.72,413.0,520.0,0.794,medium,False
1,20,Z1,residential,455.73,461.21,380.0,1.214,critical,False
1,20,Z2,commercial,189.21,183.22,600.0,0.305,low,False
1,20,Z3,corridor,435.33,445.72,460.0,0.969,high,False
1,20,Z4,mixed,394.88,391.35,520.0,0.753,medium,False
1,21,Z1,residential,432.41,493.74,380.0,1.299,critical,False
1,21,Z2,commercial,199.8,189.87,600.0,0.316,low,False
1,21,Z3,corridor,451.99,445.92,460.0,0.969,high,False
1,21,Z4,mixed,405.67,396.03,520.0,0.762,medium,False
1,22,Z1,residential,482.55,486.13,380.0,1.279,critical,False
1,22,Z2,commercial,146.82,142.79,600.0,0.238,low,False
1,22,Z3,corridor,72.55,71.71,460.0,0.156,low,False
1,22,Z4,mixed,184.53,180.01,520.0,0.346,low,False
1,23,Z1,residential,54.94,55.37,380.0,0.146,low,False
1,23,Z2,commercial,138.46,152.5,600.0,0.254,low,False
1,23,Z3,corridor,74.27,76.25,460.0,0.166,low,False
1,23,Z4,mixed,107.62,103.62,520.0,0.199,low,False
2,0,Z1,residential,71.22,72.51,380.0,0.191,low,False
2,0,Z2,commercial,163.29,165.08,600.0,0.275,low,False
2,0,Z3,corridor,86.68,94.88,460.0,0.206,low,False
2,0,Z4,mixed,126.81,128.73,520.0,0.248,low,False
2,1,Z1,residential,69.23,70.03,380.0,0.184,low,False
2,1,Z2,commercial,156.87,170.12,600.0,0.284,low,False
2,1,Z3,corridor,90.24,93.0,460.0,0.202,low,False
2,1,Z4,mixed,134.07,129.37,520.0,0.249,low,False
2,2,Z1,residential,60.72,55.47,380.0,0.146,low,False
2,2,Z2,commercial,148.52,154.09,600.0,0.257,low,False
2,2,Z3,corridor,75.59,80.84,460.0,0.176,low,False
2,2,Z4,mixed,115.04,114.41,520.0,0.22,low,False
2,3,Z1,residential,58.47,57.46,380.0,0.151,low,False
2,3,Z2,commercial,144.9,153.8,600.0,0.256,low,False
2,3,Z3,corridor,73.63,81.33,460.0,0.177,low,False
2,3,Z4,mixed,118.17,114.05,520.0,0.219,low,False
2,4,Z1,residential,61.2,63.6,380.0,0.167,low,False
2,4,Z2,commercial,155.33,154.11,600.0,0.257,low,False
2,4,Z3,corridor,80.34,76.75,460.0,0.167,low,False
2,4,Z4,mixed,114.13,117.36,520.0,0.226,low,False
2,5,Z1,residential,154.32,151.76,380.0,0.399,low,False
2,5,Z2,commercial,153.03,163.32,600.0,0.272,low,False
2,5,Z3,corridor,80.65,82.14,460.0,0.179,low,False
2,5,Z4,mixed,124.47,118.64,520.0,0.228,low,False
2,6,Z1,residential,133.88,132.67,380.0,0.349,low,False
2,6,Z2,commercial,154.45,155.0,600.0,0.258,low,False
2,6,Z3,corridor,153.19,153.4,460.0,0.333,low,False
2,6,Z4,mixed,198.52,204.8,520.0,0.394,low,False
2,7,Z1,residential,154.31,152.69,380.0,0.402,low,False
2,7,Z2,commercial,387.0,366.78,600.0,0.611,medium,False
2,7,Z3,corridor,464.9,484.55,460.0,1.053,critical,False
2,7,Z4,mixed,264.28,250.62,520.0,0.482,low,False
2,8,Z1,residential,147.39,150.43,380.0,0.396,low,False
2,8,Z2,commercial,365.39,369.83,600.0,0.616,medium,False
2,8,Z3,corridor,470.93,477.0,460.0,1.037,critical,False
2,8,Z4,mixed,263.09,282.73,520.0,0.544,medium,False
2,9,Z1,residential,154.52,150.08,380.0,0.395,low,False
2,9,Z2,commercial,352.1,376.86,600.0,0.628,medium,False
2,9,Z3,corridor,488.87,455.49,460.0,0.99,high,False
2,9,Z4,mixed,271.82,276.24,520.0,0.531,medium,False
2,10,Z1,residential,160.34,160.89,380.0,0.423,low,False
2,10,Z2,commercial,723.6,753.61,600.0,1.256,critical,False
2,10,Z3,corridor,462.61,489.18,460.0,1.063,critical,False
2,10,Z4,mixed,276.44,257.63,520.0,0.495,low,False
2,11,Z1,residential,139.05,143.46,380.0,0.378,low,False
2,11,Z2,commercial,771.92,742.77,600.0,1.238,critical,False
2,11,Z3,corridor,144.11,147.78,460.0,0.321,low,False
2,11,Z4,mixed,198.41,193.76,520.0,0.373,low,False
2,12,Z1,residential,144.52,147.29,380.0,0.388,low,False
2,12,Z2,commercial,722.07,747.79,600.0,1.246,critical,False
2,12,Z3,corridor,149.21,158.08,460.0,0.344,low,False
2,12,Z4,mixed,199.5,199.83,520.0,0.384,low,False
2,13,Z1,residential,165.21,168.14,380.0,0.442,low,False
2,13,Z2,commercial,736.66,732.97,600.0,1.222,critical,False
2,13,Z3,corridor,160.7,165.15,460.0,0.359,low,False
2,13,Z4,mixed,214.65,205.53,520.0,0.395,low,False
2,14,Z1,residential,161.19,148.26,380.0,0.39,low,False
2,14,Z2,commercial,726.48,740.78,600.0,1.235,critical,False
2,14,Z3,corridor,164.45,153.19,460.0,0.333,low,False
2,14,Z4,mixed,204.39,202.9,520.0,0.39,low,False
2,15,Z1,residential,149.05,150.33,380.0,0.396,low,False
2,15,Z2,commercial,725.06,704.39,600.0,1.174,critical,False
2,15,Z3,corridor,150.84,153.73,460.0,0.334,low,False
2,15,Z4,mixed,204.63,200.04,520.0,0.385,low,False
2,16,Z1,residential,140.24,147.83,380.0,0.389,low,False
2,16,Z2,commercial,742.88,724.61,600.0,1.208,critical,False
2,16,Z3,corridor,138.89,153.59,460.0,0.334,low,False
2,16,Z4,mixed,392.97,428.1,520.0,0.823,high,False
2,17,Z1,residential,150.55,140.84,380.0,0.371,low,False
2,17,Z2,commercial,149.99,152.11,600.0,0.254,low,False
2,17,Z3,corridor,440.01,447.42,460.0,0.973,high,False
2,17,Z4,mixed,442.45,399.66,520.0,0.769,medium,False
2,18,Z1,residential,513.82,513.81,380.0,1.352,critical,False
2,18,Z2,commercial,199.5,186.86,600.0,0.311,low,False
2,18,Z3,corridor,455.99,440.22,460.0,0.957,high,False
2,18,Z4,mixed,405.05,414.82,520.0,0.798,medium,False
2,19,Z1,residential,487.95,497.01,380.0,1.308,critical,False
2,19,Z2,commercial,184.75,184.96,600.0,0.308,low,False
2,19,Z3,corridor,443.41,437.31,460.0,0.951,high,False
2,19,Z4,mixed,410.9,420.56,520.0,0.809,high,False
2,20,Z1,residential,498.04,487.67,380.0,1.283,critical,False
2,20,Z2,commercial,186.71,191.34,600.0,0.319,low,False
2,20,Z3,corridor,458.1,454.95,460.0,0.989,high,False
2,20,Z4,mixed,398.93,431.37,520.0,0.83,high,False
2,21,Z1,residential,531.46,511.63,380.0,1.346,critical,False
2,21,Z2,commercial,200.38,194.82,600.0,0.325,low,False
2,21,Z3,corridor,469.71,467.42,460.0,1.016,critical,False
2,21,Z4,mixed,423.52,416.77,520.0,0.801,high,False
2,22,Z1,residential,516.56,499.58,380.0,1.315,critical,False
2,22,Z2,commercial,149.33,158.09,600.0,0.263,low,False
2,22,Z3,corridor,78.56,80.53,460.0,0.175,low,False
2,22,Z4,mixed,194.63,192.15,520.0,0.37,low,False
2,23,Z1,residential,58.47,60.25,380.0,0.159,low,False
2,23,Z2,commercial,142.98,152.74,600.0,0.255,low,False
2,23,Z3,corridor,80.13,83.38,460.0,0.181,low,False
2,23,Z4,mixed,117.02,118.09,520.0,0.227,low,False
3,0,Z1,residential,58.76,61.74,380.0,0.162,low,False
3,0,Z2,commercial,153.89,156.18,600.0,0.26,low,False
3,0,Z3,corridor,81.14,80.06,460.0,0.174,low,False
3,0,Z4,mixed,119.01,116.18,520.0,0.223,low,False
3,1,Z1,residential,71.06,77.6,380.0,0.204,low,False
3,1,Z2,commercial,173.22,173.0,600.0,0.288,low,False
3,1,Z3,corridor,94.15,93.0,460.0,0.202,low,False
3,1,Z4,mixed,138.85,136.41,520.0,0.262,low,False
3,2,Z1,residential,59.23,60.71,380.0,0.16,low,False
3,2,Z2,commercial,154.74,164.99,600.0,0.275,low,False
3,2,Z3,corridor,83.92,81.38,460.0,0.177,low,False
3,2,Z4,mixed,118.38,120.11,520.0,0.231,low,False
3,3,Z1,residential,75.87,76.59,380.0,0.202,low,False
3,3,Z2,commercial,170.55,167.32,600.0,0.279,low,False
3,3,Z3,corridor,95.15,96.22,460.0,0.209,low,False
3,3,Z4,mixed,135.12,133.96,520.0,0.258,low,False
3,4,Z1,residential,74.0,79.47,380.0,0.209,low,False
3,4,Z2,commercial,173.5,177.3,600.0,0.296,low,False
3,4,Z3,corridor,99.85,96.81,460.0,0.21,low,False
3,4,Z4,mixed,137.85,142.09,520.0,0.273,low,False
3,5,Z1,residential,152.19,166.48,380.0,0.438,low,False
3,5,Z2,commercial,166.07,168.83,600.0,0.281,low,False
3,5,Z3,corridor,88.5,91.2,460.0,0.198,low,False
3,5,Z4,mixed,127.16,128.3,520.0,0.247,low,False
3,6,Z1,residential,149.13,144.81,380.0,0.381,low,False
3,6,Z2,commercial,156.39,156.87,600.0,0.261,low,False
3,6,Z3,corridor,160.28,160.58,460.0,0.349,low,False
3,6,Z4,mixed,209.18,218.45,520.0,0.42,low,False
3,7,Z1,residential,138.04,148.14,380.0,0.39,low,False
3,7,Z2,commercial,368.78,360.08,600.0,0.6,medium,False
3,7,Z3,corridor,484.03,488.11,460.0,1.061,critical,False
3,7,Z4,mixed,261.74,277.99,520.0,0.535,medium,False
3,8,Z1,residential,147.15,151.96,380.0,0.4,low,False
3,8,Z2,commercial,383.02,369.74,600.0,0.616,medium,False
3,8,Z3,corridor,495.5,471.15,460.0,1.024,critical,False
3,8,Z4,mixed,273.32,271.19,520.0,0.522,medium,False
3,9,Z1,residential,155.66,149.42,380.0,0.393,low,False
3,9,Z2,commercial,385.56,361.55,600.0,0.603,medium,False
3,9,Z3,corridor,503.63,499.89,460.0,1.087,critical,False
3,9,Z4,mixed,261.98,276.17,520.0,0.531,medium,False
3,10,Z1,residential,155.12,171.76,380.0,0.452,low,False
3,10,Z2,commercial,762.87,762.24,600.0,1.27,critical,False
3,10,Z3,corridor,468.38,501.56,460.0,1.09,critical,False
3,10,Z4,mixed,272.11,272.31,520.0,0.524,medium,False
3,11,Z1,residential,166.3,161.76,380.0,0.426,low,False
3,11,Z2,commercial,808.44,754.44,600.0,1.257,critical,False
3,11,Z3,corridor,167.18,166.76,460.0,0.363,low,False
3,11,Z4,mixed,209.28,213.58,520.0,0.411,low,False
3,12,Z1,residential,159.14,152.88,380.0,0.402,low,False
3,12,Z2,commercial,744.22,759.01,600.0,1.265,critical,False
3,12,Z3,corridor,152.98,159.31,460.0,0.346,low,False
3,12,Z4,mixed,213.02,210.49,520.0,0.405,low,False
3,13,Z1,residential,174.49,163.37,380.0,0.43,low,False
3,13,Z2,commercial,788.74,792.67,600.0,1.321,critical,False
3,13,Z3,corridor,175.72,182.65,460.0,0.397,low,False
3,13,Z4,mixed,220.86,230.23,520.0,0.443,low,False
3,14,Z1,residential,162.75,166.48,380.0,0.438,low,False
3,14,Z2,commercial,776.89,779.92,600.0,1.3,critical,False
3,14,Z3,corridor,173.75,172.13,460.0,0.374,low,False
3,14,Z4,mixed,208.87,220.38,520.0,0.424,low,False
3,15,Z1,residential,161.75,162.09,380.0,0.427,low,False
3,15,Z2,commercial,738.63,767.57,600.0,1.279,critical,False
3,15,Z3,corridor,174.36,164.96,460.0,0.359,low,False
3,15,Z4,mixed,218.8,212.5,520.0,0.409,low,False
3,16,Z1,residential,162.69,164.43,380.0,0.433,low,False
3,16,Z2,commercial,732.44,748.94,600.0,1.248,critical,False
3,16,Z3,corridor,169.05,169.21,460.0,0.368,low,False
3,16,Z4,mixed,423.26,439.3,520.0,0.845,high,False
3,17,Z1,residential,165.43,169.54,380.0,0.446,low,False
3,17,Z2,commercial,174.71,172.35,600.0,0.287,low,False
3,17,Z3,corridor,486.0,488.36,460.0,1.062,critical,False
3,17,Z4,mixed,420.75,438.46,520.0,0.843,high,False
3,18,Z1,residential,553.23,554.17,380.0,1.458,critical,False
3,18,Z2,commercial,208.61,200.43,600.0,0.334,low,False
3,18,Z3,corridor,468.56,473.47,460.0,1.029,critical,False
3,18,Z4,mixed,444.77,444.56,520.0,0.855,high,False
3,19,Z1,residential,551.46,561.11,380.0,1.477,critical,False
3,19,Z2,commercial,204.74,214.99,600.0,0.358,low,False
3,19,Z3,corridor,493.41,502.62,460.0,1.093,critical,False
3,19,Z4,mixed,427.3,429.48,520.0,0.826,high,False
3,20,Z1,residential,554.44,585.8,380.0,1.542,critical,False
3,20,Z2,commercial,209.03,223.18,600.0,0.372,low,False
3,20,Z3,corridor,468.98,493.41,460.0,1.073,critical,False
3,20,Z4,mixed,454.91,450.2,520.0,0.866,high,False
3,21,Z1,residential,542.68,541.71,380.0,1.426,critical,False
3,21,Z2,commercial,202.82,194.85,600.0,0.325,low,False
3,21,Z3,corridor,478.6,502.97,460.0,1.093,critical,False
3,21,Z4,mixed,440.87,413.03,520.0,0.794,medium,False
3,22,Z1,residential,556.76,543.7,380.0,1.431,critical,False
3,22,Z2,commercial,158.72,155.44,600.0,0.259,low,False
3,22,Z3,corridor,93.99,89.15,460.0,0.194,low,False
3,22,Z4,mixed,219.98,214.85,520.0,0.413,low,False
3,23,Z1,residential,72.03,70.72,380.0,0.186,low,False
3,23,Z2,commercial,161.06,160.31,600.0,0.267,low,False
3,23,Z3,corridor,87.83,92.72,460.0,0.202,low,False
3,23,Z4,mixed,124.63,124.52,520.0,0.239,low,False
4,0,Z1,residential,71.02,68.48,380.0,0.18,low,False
4,0,Z2,commercial,173.68,171.54,600.0,0.286,low,False
4,0,Z3,corridor,91.47,91.46,460.0,0.199,low,False
4,0,Z4,mixed,126.69,127.66,520.0,0.245,low,False
4,1,Z1,residential,65.8,65.43,380.0,0.172,low,False
4,1,Z2,commercial,165.17,176.58,600.0,0.294,low,False
4,1,Z3,corridor,87.28,91.99,460.0,0.2,low,False
4,1,Z4,mixed,130.55,128.15,520.0,0.246,low,False
4,2,Z1,residential,67.38,63.8,380.0,0.168,low,False
4,2,Z2,commercial,164.0,166.87,600.0,0.278,low,False
4,2,Z3,corridor,92.08,87.01,460.0,0.189,low,False
4,2,Z4,mixed,136.47,120.38,520.0,0.231,low,False
4,3,Z1,residential,74.29,71.38,380.0,0.188,low,False
4,3,Z2,commercial,175.47,173.04,600.0,0.288,low,False
4,3,Z3,corridor,91.31,93.73,460.0,0.204,low,False
4,3,Z4,mixed,140.39,139.18,520.0,0.268,low,False
4,4,Z1,residential,60.9,67.09,380.0,0.177,low,False
4,4,Z2,commercial,161.93,157.3,600.0,0.262,low,False
4,4,Z3,corridor,84.16,88.51,460.0,0.192,low,False
4,4,Z4,mixed,129.09,126.04,520.0,0.242,low,False
4,5,Z1,residential,183.64,164.04,380.0,0.432,low,False
4,5,Z2,commercial,174.05,172.72,600.0,0.288,low,False
4,5,Z3,corridor,98.57,97.16,460.0,0.211,low,False
4,5,Z4,mixed,138.19,134.98,520.0,0.26,low,False
4,6,Z1,residential,171.46,168.78,380.0,0.444,low,False
4,6,Z2,commercial,171.41,178.5,600.0,0.297,low,False
4,6,Z3,corridor,181.14,168.69,460.0,0.367,low,False
4,6,Z4,mixed,220.2,229.29,520.0,0.441,low,False
4,7,Z1,residential,162.09,157.88,380.0,0.415,low,False
4,7,Z2,commercial,383.81,395.17,600.0,0.659,medium,False
4,7,Z3,corridor,503.9,478.41,460.0,1.04,critical,False
4,7,Z4,mixed,282.71,280.22,520.0,0.539,medium,False
4,8,Z1,residential,171.42,173.48,380.0,0.457,low,False
4,8,Z2,commercial,406.84,392.38,600.0,0.654,medium,False
4,8,Z3,corridor,527.02,525.58,460.0,1.143,critical,False
4,8,Z4,mixed,289.68,296.91,520.0,0.571,medium,False
4,9,Z1,residential,166.16,167.17,380.0,0.44,low,False
4,9,Z2,commercial,377.57,389.09,600.0,0.648,medium,False
4,9,Z3,corridor,513.62,544.7,460.0,1.184,critical,False
4,9,Z4,mixed,292.27,305.45,520.0,0.587,medium,False
4,10,Z1,residential,164.72,173.62,380.0,0.457,low,False
4,10,Z2,commercial,762.08,789.91,600.0,1.317,critical,False
4,10,Z3,corridor,507.01,526.71,460.0,1.145,critical,False
4,10,Z4,mixed,276.74,280.12,520.0,0.539,medium,False
4,11,Z1,residential,181.11,176.53,380.0,0.465,low,False
4,11,Z2,commercial,818.53,813.19,600.0,1.355,critical,False
4,11,Z3,corridor,181.41,183.76,460.0,0.399,low,False
4,11,Z4,mixed,230.88,225.83,520.0,0.434,low,False
4,12,Z1,residential,175.28,175.95,380.0,0.463,low,False
